Kod;Nazwa;1_Q_2010;1_Q_2011;1_Q_2012;1_Q_2013;1_Q_2014;1_Q_2015;1_Q_2016;1_Q_2017;1_Q_2018;1_Q_2019;1_Q_2020;1_Q_2021;2_Q_2010;2_Q_2011;2_Q_2012;2_Q_2013;2_Q_2014;2_Q_2015;2_Q_2016;2_Q_2017;2_Q_2018;2_Q_2019;2_Q_2020;2_Q_2021;3_Q_2010;3_Q_2011;3_Q_2012;3_Q_2013;3_Q_2014;3_Q_2015;3_Q_2016;3_Q_2017;3_Q_2018;3_Q_2019;3_Q_2020;3_Q_2021;4_Q_2010;4_Q_2011;4_Q_2012;4_Q_2013;4_Q_2014;4_Q_2015;4_Q_2016;4_Q_2017;4_Q_2018;4_Q_2019;4_Q_2020;4_Q_2021
0;Poland;56488;67610;77577;75906;52522;92108;105236;127098;141872;140998;108842;118668;54867;69213;71236;72085;77795;86412;106486;122628;136499;140091;72945;125995;50274;63622;57697;65816;69525;80826;92850;109003;132654;133951;116184;106275;58463;74148;66701;77176;82517;96991;113486;131922;129371;146113;134423;99893
200000;Lower Silesian;3537;4537;5120;5056;3561;6543;8317;9788;10631;11102;8671;10147;3590;4524;4416;4838;5399;5896;7920;9416;10534;10991;6046;10480;3214;4228;4036;4581;4723;5744;7260;8984;10626;10295;9668;8606;3990;4786;4495;5381;5835;7316;8678;10082;10169;11504;10765;7582
400000;Kuyavian-Pomeranian;2022;2618;2881;2674;1825;3350;3629;4054;4675;4680;3780;4187;2011;2425;2395;2299;2535;2857;3389;3647;4134;4723;2545;4323;1811;1994;1873;2089;2175;2548;3010;3573;4290;4593;3922;3615;2031;2431;2029;2623;2582;3233;3654;4364;4527;4714;4645;3499
600000;Lublin;1491;1745;2104;1973;1299;2143;2079;2602;2995;2964;2454;2756;1429;1722;1722;1683;1647;1702;2131;2358;2750;2779;1578;2524;1294;1537;1455;1579;1499;1645;1863;2185;2531;2895;2425;2102;1452;1948;1664;1737;1748;2175;2384;2704;2857;3070;3084;1999
800000;Lubush;775;996;1273;1236;946;1536;1605;2219;2381;2418;1901;2171;722;840;1075;1036;1193;1311;1631;1810;2097;2185;1233;2099;676;840;961;1008;1025;1273;1550;1846;2086;2092;1898;1742;819;943;1034;1157;1256;1587;1854;2179;2295;2455;2381;1793
1000000;Lodz;2951;3451;4078;3841;2865;4187;4549;5405;6236;6630;4882;5109;2839;3053;3362;3539;3310;3742;4231;4992;5336;5378;2820;5070;2345;2656;2809;3073;2884;3367;3740;4473;5471;5503;4175;4153;2808;3437;3189;3276;3423;4004;4506;5062;5540;6654;5558;4533
1200000;Lesser Poland;4453;5425;6401;6369;4776;7610;9341;10664;12361;12425;9356;10641;4094;5290;6194;5989;6140;7060;8765;10760;13101;11564;6560;11190;3914;4832;4697;5791;5255;6458;7819;9041;11789;10940;9840;9240;4503;5907;5833;6499;6445;7323;9330;10897;10551;11980;11283;8006
1400000;Masovian;16010;19555;21847;20700;13219;26601;30761;38251;41630;39456;33394;33389;17048;23359;22353;22708;25707;29541;35454;40615;43023;46184;22655;40857;15717;20993;17111;19216;24010;26811;29104;33441;42720;43686;38087;35188;17240;23613;20821;23934;27441;30377;35389;41556;38042;45239;42210;32715
1600000;Opole;1072;1300;1666;1488;1026;1643;1878;2045;2280;2399;1686;1729;1021;1210;1317;1267;1360;1312;1585;1911;2002;1928;1063;1738;975;1130;1051;1214;1108;1307;1422;1650;2110;1988;1819;1627;1112;1524;1312;1397;1319;1581;1771;2042;2100;2398;1928;1473
1800000;Subcarpathian;1765;2061;2292;2088;1542;3069;3185;4025;4494;4127;2916;2981;1456;2149;2161;1803;2026;2325;3012;3596;4062;3650;1868;3013;1608;1789;2039;1811;1771;2259;2884;3141;3816;3693;2605;2553;1800;2470;2095;2384;2473;3290;3592;3859;4107;3952;3438;2373
